Source,Target,Weight,All
LUNA,TRAVIS,6,1
LUNA,FATHER_DANIEL,6,1
LUNA,CAROLINE,6,1
LUNA,ARLO,6,1
LUNA,LEAF,6,1
LUNA,KIKI,6,1
TRAVIS,LUNA,7,1
TRAVIS,CARSON,7,1
TRAVIS,DARCY,7,1
TRAVIS,HENRY,7,1
TRAVIS,JAMAL,7,1
TRAVIS,FATHER_DANIEL,7,1
TRAVIS,LUNA,7,1
CARSON,TRAVIS,2,1
CARSON,DARCY,2,1
DARCY,TRAVIS,5,1
DARCY,CARSON,5,1
DARCY,HENRY,5,1
DARCY,JAMAL,5,1
DARCY,FATHER_DANIEL,5,1
HENRY,JAMAL,4,1
HENRY,TRAVIS,4,1
HENRY,CARSON,4,1
HENRY,DARCY,4,1
JAMAL,TRAVIS,3,1
JAMAL,DARCY,3,1
JAMAL,HENRY,3,1
FATHER_DANIEL,LUNA,3,1
FATHER_DANIEL,TRAVIS,3,1
FATHER_DANIEL,DARCY,3,1
CAROLINE,ARLO,3,1
CAROLINE,LEAF,3,1
CAROLINE,LUNA,3,1
ARLO,LEAF,3,1
ARLO,LUNA,3,1
ARLO,CAROLINE,3,1
LEAF,KIKI,4,1
LEAF,LUNA,4,1
LEAF,CAROLINE,4,1
LEAF,ARLO,4,1
